country,year,gdp_pc_usd
HKG,2017,341273289534.466
HKG,2018,361731070995.726
HKG,2019,363074545072.389
HKG,2020,344943149590.058
HKG,2021,368954169748.818
HND,2011,17710275685.4074
HND,2012,18528554397.5695
HND,2013,18499729214.904
HND,2014,19756533971.8698
HND,2015,20979791685.416
HND,2016,21717604952.1835
HND,2017,23136247990.5977
HND,2018,24067750760.499
HND,2019,24882225741.8119
HND,2020,23352232483.755
HND,2021,28144331506.6149
HRV,2011,62903737379.7834
HRV,2012,57551963753.2104
HRV,2013,59852401272.3204
HRV,2014,59612144078.4133
HRV,2015,51005200669.6941
HRV,2016,52654855638.1057
HRV,2017,56186190437.9959
HRV,2018,61668130122.5878
HRV,2019,61467582193.6824
HRV,2020,57963370885.0798
HRV,2021,69006802298.6956
HTI,2011,13008746038.8867
HTI,2012,13708925477.1304
HTI,2013,14902488604.2421
HTI,2014,15146883497.6331
HTI,2015,14849629308.6025
HTI,2016,14069277526.2278
HTI,2017,15093357161.1498
HTI,2018,16403864617.8458
HTI,2019,15016090929.5125
HTI,2020,14508222518.3018
HTI,2021,20877414952.6375
HUN,2011,141942264554.475
HUN,2012,128814279315.132
HUN,2013,135684315697.713
HUN,2014,141033843265.669
HUN,2015,125174166987.372
HUN,2016,128609822750.039
HUN,2017,143112196040.326
HUN,2018,160565642983.587
HUN,2019,164020460331.659
HUN,2020,157288955508.176
HUN,2021,182109999477.691
IDN,2011,892969104529.572
IDN,2012,917869913364.917
IDN,2013,912524136718.018
IDN,2014,890814755511.014
IDN,2015,860854232717.718
IDN,2016,931877364034.196
IDN,2017,1015618744168.08
IDN,2018,1042271532953.49
