country,year,resource_rents_pct_gdp
NAM,2021,4412.8355693052
NCL,2011,38835.9401851385
NCL,2012,35559.5672006157
NCL,2013,36671.1566752621
NCL,2014,37816.9558599295
NCL,2015,30858.7237060533
NCL,2016,30782.8544433514
NCL,2017,32354.7102832901
NCL,2018,34902.8968780031
NCL,2019,33411.3358835672
NCL,2020,33270.330597637
NCL,2021,35311.5543551452
NER,2011,510.75956176268
NER,2012,528.510104469655
NER,2013,552.103334363117
NER,2014,565.30989731175
NER,2015,485.662574175279
NER,2016,502.706475406446
NER,2017,521.804130023434
NER,2018,578.568035680892
NER,2019,561.691304349698
NER,2020,579.512495758236
NER,2021,608.722439593808
NGA,2011,2418.41316975875
NGA,2012,2633.19734671361
NGA,2013,2872.79083379398
NGA,2014,3088.72131316169
NGA,2015,2585.73360671797
NGA,2016,2070.4127339595
NGA,2017,1876.34027111773
NGA,2018,2057.87944554011
NGA,2019,2265.15520863056
NGA,2020,2019.65706326224
NGA,2021,2017.27486481527
NIC,2011,1679.71034177231
NIC,2012,1784.69212752824
NIC,2013,1835.43436443315
NIC,2014,1958.36966453366
NIC,2015,2074.45446460028
NIC,2016,2131.68828465802
NIC,2017,2182.61875100395
NIC,2018,2035.16750115975
NIC,2019,1958.62132892996
NIC,2020,1931.61515811642
NIC,2021,2128.60980633198
NLD,2011,54701.7728030611
NLD,2012,50473.9442002689
NLD,2013,52602.2860520766
NLD,2014,53457.2234864322
NLD,2015,45793.8135434697
NLD,2016,46808.5291492503
NLD,2017,49513.6817346384
NLD,2018,53955.0770024266
NLD,2019,53554.9007491475
NLD,2020,53467.9277413737
NLD,2021,60141.9880911492
NOR,2011,101221.813476644
NOR,2012,102175.919298374
NOR,2013,103553.840134417
NOR,2014,97666.6951838749
NOR,2015,74809.9658049898
NOR,2016,70867.3609970749
NOR,2017,76131.8384032764
NOR,2018,82792.8427113304
NOR,2019,76430.5889473338
NOR,2020,68340.0181033702
NOR,2021,93072.8925119571
NPL,2011,785.518656222132
NPL,2012,788.202937148377
NPL,2013,803.269595420477
NPL,2014,821.455224911731
NPL,2015,875.543635474862
NPL,2016,877.256454696737
NPL,2017,1034.28374906846
NPL,2018,1179.19843190389
NPL,2019,1203.14294706401
NPL,2020,1154.21517578318
NPL,2021,1252.75076731986
NRU,2011,6480.90451339597
NRU,2012,9817.36872216004
NRU,2013,8974.51886874433
NRU,2014,9193.09784447237
NRU,2015,7703.43149943923
NRU,2016,8724.30700255019
NRU,2017,9613.41209082575
NRU,2018,11408.6947593898
NRU,2019,10776.8284610316
NRU,2020,10695.6993301601
NRU,2021,14989.6647450751
NZL,2011,38388.5280906616
NZL,2012,39974.2997334925
NZL,2013,42977.388040868
NZL,2014,44578.2253868016
NZL,2015,38639.3501941427
NZL,2016,40070.8956577431
NZL,2017,42913.186956185
NZL,2018,43228.6976473771
NZL,2019,42747.2099299966
NZL,2020,41785.6922905898
NZL,2021,49624.1816729553
OMN,2011,25188.0074151885
OMN,2012,24642.2978768596
OMN,2013,23458.0233840053
OMN,2014,23160.6502252547
OMN,2015,18808.3077921839
OMN,2016,17110.1897460545
OMN,2017,17820.0661809335
OMN,2018,19901.7615642016
OMN,2019,19180.1864152801
OMN,2020,16784.8630630058
OMN,2021,19403.4600160211
PAK,2011,1131.73513834324
PAK,2012,1204.36475491585
PAK,2013,1225.4340119198
PAK,2014,1266.61340849959
PAK,2015,1380.47020838317
PAK,2016,1424.69161195897
PAK,2017,1519.23459514248
PAK,2018,1569.33814626355
PAK,2019,1390.41690981745
PAK,2020,1278.39735206896
PAK,2021,1455.31922370186
PAN,2011,9662.29592216607
PAN,2012,11064.8063606203
PAN,2013,12273.3225037637
PAN,2014,13213.1989637473
PAN,2015,14082.6548502728
PAN,2016,14832.3611608191
PAN,2017,15694.6297454295
PAN,2018,16151.3273478476
PAN,2019,16477.9066285687
PAN,2020,13290.5608347594
PAN,2021,15509.8069109784
PER,2011,5861.35793645245
PER,2012,6519.37852981527
PER,2013,6746.80025696601
PER,2014,6667.13410360861
PER,2015,6231.71150338894
PER,2016,6217.03599995447
PER,2017,6736.16693725487
PER,2018,6978.49121548627
PER,2019,7037.00803692604
PER,2020,6133.32552410183
PER,2021,6826.9720069846
PHL,2011,2383.91892526787
PHL,2012,2614.61644410764
PHL,2013,2781.27957670473
PHL,2014,2866.83803767919
PHL,2015,2909.85818014474
PHL,2016,2985.19564020101
PHL,2017,3038.12124955619
PHL,2018,3168.51036606257
PHL,2019,3400.78949772302
PHL,2020,3227.57910235199
PHL,2021,3484.38593882819
PLW,2011,11000.879522071
PLW,2012,12145.3644807205
PLW,2013,12768.9097206482
PLW,2014,13726.0222622072
PLW,2015,15690.7586522228
PLW,2016,16762.5723436534
PLW,2017,16034.1342914889
PLW,2018,16197.7254546986
PLW,2019,15841.1935329812
PLW,2020,14556.5896891862
PLW,2021,13257.2066721026
PNG,2011,2288.37591141234
PNG,2012,2635.0873631547
PNG,2013,2560.77458976327
PNG,2014,2723.17529825196
PNG,2015,2484.5963398603
PNG,2016,2316.39479758492
PNG,2017,2477.76530986323
PNG,2018,2566.36833735041
PNG,2019,2575.77274251891
PNG,2020,2429.61134586681
PNG,2021,2607.57861884395
POL,2011,13867.6669408192
POL,2012,13087.420943321
POL,2013,13621.9023794031
POL,2014,14262.2841914116
POL,2015,12637.5220324406
POL,2016,12464.0110508476
POL,2017,13913.3402919927
POL,2018,15658.2120316794
POL,2019,15874.5220531254
POL,2020,15987.5753654045
POL,2021,18635.5104895754
