country,year,age1564_pct
PER,2011,63.7051205709866
PER,2012,63.8537658044574
PER,2013,63.9921870469901
PER,2014,64.1329645084282
PER,2015,64.2983458972473
PER,2016,64.5030119796406
PER,2017,64.7524640868538
PER,2018,65.116760333898
PER,2019,65.4853603481098
PER,2020,65.7782365403473
PER,2021,66.1055495371832
PHL,2011,61.3850819239797
PHL,2012,61.7186610350509
PHL,2013,62.0410797268429
PHL,2014,62.3216282458617
PHL,2015,62.6875930117321
PHL,2016,63.1300684825105
PHL,2017,63.5459353202846
PHL,2018,63.899758760509
PHL,2019,64.2071776686226
PHL,2020,64.592028512455
PHL,2021,65.1056206866521
PLW,2011,73.0327755497165
PLW,2012,73.0685879935831
PLW,2013,72.8581142339075
PLW,2014,72.4160316116286
PLW,2015,72.1376515940235
PLW,2016,72.0177558015396
PLW,2017,71.8560520997081
PLW,2018,71.6579191108367
PLW,2019,71.4546578267221
PLW,2020,71.2370728417266
PLW,2021,71.0088286565821
PNG,2011,60.0261586651103
PNG,2012,60.255364485565
PNG,2013,60.4884255990297
PNG,2014,60.7248997206645
PNG,2015,60.9608891251602
PNG,2016,61.1980348632949
PNG,2017,61.4449257270681
PNG,2018,61.6965689601702
PNG,2019,61.947219328526
PNG,2020,62.1903603755823
PNG,2021,62.4217908585089
POL,2011,71.1217900505102
POL,2012,70.8309123377924
POL,2013,70.4628284457914
POL,2014,70.0250512784321
POL,2015,69.5235017932482
POL,2016,68.9521816813071
POL,2017,68.3269085235055
POL,2018,67.6767403778615
POL,2019,67.0192549762975
POL,2020,66.4351589630372
POL,2021,66.0026656203027
PRI,2011,64.7670419224097
PRI,2012,65.1080154737987
PRI,2013,65.3329198515347
PRI,2014,65.4321091534349
PRI,2015,65.4208494690871
PRI,2016,65.3187601004888
PRI,2017,64.7845181617875
PRI,2018,64.3099473931846
PRI,2019,64.2849756753896
PRI,2020,64.1679678735456
PRI,2021,63.9680192794194
PRK,2011,68.7198658483955
PRK,2012,68.8632468984276
PRK,2013,69.0051598630156
PRK,2014,69.1474939267745
PRK,2015,69.2374943060408
PRK,2016,69.4384982617448
PRK,2017,69.7490755231046
PRK,2018,69.9359100865089
PRK,2019,69.9565715124061
